10/03/16	2	S	0	
10/04/16	3	S	1	C
10/05/16	4	S	2	D
10/06/16	5	S	3	A
10/07/16	6	S	4	B
10/11/16	3	S	5	C
10/13/16	5	S	6	D
10/14/16	6	S	7	A
10/17/16	2	S	0	
10/18/16	3	S	1	B
10/19/16	4	S	2	C
10/20/16	5	S	3	D
10/21/16	6	S	4	A
10/24/16	2	S	5	B
10/25/16	3	S	6	C
10/26/16	4	S	7	D
10/27/16	5	S	0	
10/28/16	6	S	1	A
10/31/16	2	S	2	B
11/01/16	3	S	3	C
11/02/16	4	S	4	D
11/03/16	5	S	5	A
11/04/16	6	S	6	B
11/07/16	2	S	7	C
11/09/16	4	S	0	
11/10/16	5	S	1	D
11/14/16	2	S	2	A
11/15/16	3	S	3	B
11/16/16	4	S	4	C
11/17/16	5	S	5	D
11/18/16	6	S	6	A
11/21/16	2	S	7	B
11/22/16	3	S	0	
11/28/16	2	S	1	C
11/29/16	3	S	2	D
11/30/16	4	S	3	A
